lon,lat,City,State,Date,Attendance,Movement,Cause,Claim
-86.798814,33.561968,Huntsville,AL,2017-09-22,9000,U.S. Politics,Politician Support,Supporting Luther Strange
-71.0595678,42.3604823,Boston,MA,2017-09-16,7600,U.S. Politics,Health Care,Cannabis rally
-117.1627714,32.7174209,San Diego,CA,2017-09-30,6000,U.S. Politics,Health Care,March against AIDS
-77.0366456,38.8949549,Washington,DC,2017-09-16,3000,Other,Other,"Protesting FBI classification of Juggalos as a ""loosely organized hybrid gang"""
-87.6244212,41.8755546,Chicago,IL,2017-09-04,2000,Workers & Labor Rights,Living Wages,Rally for higher wages
-73.356691165361,40.74123595,New York,NY,2017-09-05,2000,Racial Justice,Immigrant Rights,Protesting Trump's DACA decision
-73.356691165361,40.74123595,New York,NY,2017-09-05,2000,Racial Justice,Immigrant Rights,Protesting Trump's DACA decision
-87.922497,43.0349931,Milwaukee,WI,2017-09-06,2000,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-80.3310713,43.0317491,Oakland,CA,2017-09-09,2000,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-77.0366456,38.8949549,Washington,DC,2017-09-30,2000,Racial Justice,Anti-Racism,March for Racial Justice and the March for Black Women
-106.501349395577,31.8111305,El Paso,TX,2017-09-01,1000,Racial Justice,Immigrant Rights,SB-4 Bill
-106.501349395577,31.8111305,Los Angeles,CA,2017-09-04,1000,Racial Justice,Immigrant Rights,Rally for DACA
-106.501349395577,31.8111305,New Haven,CT,2017-09-05,1000,Racial Justice,Immigrant Rights,Protesting Trump's DACA decision
-117.1627714,32.7174209,San Diego,CA,2017-09-05,1000,Racial Justice,Immigrant Rights,Protesting Trump's DACA decision
-73.4373087,45.4423543,San Francisco,CA,2017-09-05,1000,Racial Justice,Immigrant Rights,Protesting Trump's DACA decision
-80.7272504,44.3669375,Berkeley,CA,2017-09-14,1000,Racial Justice,Anti-Racism,Protesting Ben Shapiro
-80.7272504,44.3669375,St. Louis,MO,2017-09-16,1000,Racial Justice,Anti-Police Brutality,Protesting Jason Stockley's acquittal
-77.0366456,38.8949549,Washington,DC,2017-09-16,1000,Other,White Nationalism,Show of American patriotism and celebration
-80.7272504,44.3669375,St. Louis,MO,2017-09-17,1000,Racial Justice,Anti-Police Brutality,protesting acquittal of ex-police officer Jason Stockley
-80.7272504,44.3669375,St. Louis,MO,2017-09-18,1000,Racial Justice,Anti-Police Brutality,Protesting acquittal of Jason Stockley
114.183818890881,22.3263649,Mansfield,CT,2017-09-20,1000,U.S. Politics,Anti-Budget Cuts,Protesting state budget
-122.6741949,45.5202471,Portland,OR,2017-09-30,1000,U.S. Politics,Health Care,Protesting lack of support for addiction treatment
-91.5299106,41.6612561,Iowa City,IA,2017-09-07,700,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-80.0852421,42.1290657,Erie,PA,2017-09-04,600,Workers & Labor Rights,Living Wages,Rally for higher wages
-110.9262353,32.2218917,Tucson,AZ,2017-09-06,600,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-80.7272504,44.3669375,St. Louis,MO,2017-09-14,600,Racial Justice,Immigrant Rights,Protect International Student Workers
-123.7244026,48.8032735,Hayward,CA,2017-09-07,530,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-95.283819,38.943818,Hartford,CT,2017-09-07,500,U.S. Politics,Anti-Budget Cuts,Rally urging lawmakers to pass budget
